year,city,state,city_tier,population_approx,median_salary_gross_usd_monthly,median_salary_net_usd_monthly,median_salary_gross_usd_annual,national_median_gross_usd_monthly,national_median_gross_usd_annual,national_mean_gross_usd_monthly,fed_min_wage_usd_hourly,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_usd,rent_1br_outside_center_usd,meal_cheap_restaurant_usd,groceries_monthly_usd,public_transport_monthly_usd,est_monthly_cost_single_usd,affordability_ratio,rent_to_income_pct,data_source
2018,Raleigh,North Carolina,city_large,475000,3625,2646,43500,3220,38640,4330,7.25,1.126,2.4,72.8,1293,966,13,367,67,1780,1.49,26.6,numbeo
2019,Raleigh,North Carolina,city_large,475000,3728,2721,44736,3318,39810,4458,7.25,1.124,1.8,72.6,1347,1003,14,353,65,1823,1.49,26.9,numbeo
2020,Raleigh,North Carolina,city_large,475000,4010,2927,48120,3496,41950,4692,7.25,1.147,1.2,73.9,1360,962,13,359,67,1772,1.65,24.0,numbeo
2021,Raleigh,North Carolina,city_large,475000,4492,3279,53904,3813,45760,4855,7.25,1.178,4.7,73.5,1395,1063,14,388,71,1932,1.7,23.7,numbeo
2022,Raleigh,North Carolina,city_large,475000,4287,3130,51444,3859,46310,5158,7.25,1.111,8.0,74.2,1536,1120,16,409,74,2063,1.52,26.1,numbeo
2023,Raleigh,North Carolina,city_large,475000,4550,3322,54600,4005,48060,5456,7.25,1.136,4.1,73.5,1622,1220,16,442,80,2208,1.5,26.8,numbeo
2024,Raleigh,North Carolina,city_large,475000,4873,3557,58476,4167,50000,5660,7.25,1.169,2.9,73.8,1677,1193,16,433,79,2175,1.64,24.5,numbeo
2010,Charlotte,North Carolina,city_large,875000,2914,2127,34968,2820,33840,3622,7.25,1.033,1.6,69.6,1068,861,11,321,55,1561,1.36,29.5,numbeo
2011,Charlotte,North Carolina,city_large,875000,3013,2199,36156,2872,34460,3701,7.25,1.049,3.2,70.0,1180,889,12,325,59,1621,1.36,29.5,numbeo
2012,Charlotte,North Carolina,city_large,875000,3012,2199,36144,2896,34750,3769,7.25,1.04,2.1,69.0,1157,887,12,327,56,1620,1.36,29.4,numbeo
2013,Charlotte,North Carolina,city_large,875000,2972,2170,35664,2923,35080,3870,7.25,1.017,1.5,69.5,1147,866,12,336,58,1612,1.35,29.1,numbeo
2014,Charlotte,North Carolina,city_large,875000,3079,2248,36948,2962,35540,3936,7.25,1.04,1.6,70.3,1224,930,12,327,62,1672,1.34,30.2,numbeo
2015,Charlotte,North Carolina,city_large,875000,3186,2326,38232,3017,36200,4027,7.25,1.056,0.1,70.7,1179,948,12,351,60,1712,1.36,29.8,numbeo
2016,Charlotte,North Carolina,city_large,875000,3261,2381,39132,3087,37040,4136,7.25,1.056,1.3,70.7,1203,958,12,335,63,1711,1.39,29.4,numbeo
2017,Charlotte,North Carolina,city_large,875000,3222,2352,38664,3141,37690,4218,7.25,1.026,2.1,69.8,1221,940,13,347,65,1729,1.36,29.2,numbeo
2018,Charlotte,North Carolina,city_large,875000,3400,2482,40800,3220,38640,4330,7.25,1.056,2.4,70.0,1297,928,12,354,64,1706,1.45,27.3,numbeo
2019,Charlotte,North Carolina,city_large,875000,3360,2453,40320,3318,39810,4458,7.25,1.013,1.8,70.4,1308,993,14,378,63,1836,1.34,29.6,numbeo
2020,Charlotte,North Carolina,city_large,875000,3562,2600,42744,3496,41950,4692,7.25,1.019,1.2,71.6,1314,998,13,376,66,1824,1.43,28.0,numbeo
2021,Charlotte,North Carolina,city_large,875000,4122,3009,49464,3813,45760,4855,7.25,1.081,4.7,71.0,1314,1045,14,390,71,1916,1.57,25.4,numbeo
2022,Charlotte,North Carolina,city_large,875000,4055,2960,48660,3859,46310,5158,7.25,1.051,8.0,71.4,1516,1158,15,412,73,2083,1.42,28.6,numbeo
2023,Charlotte,North Carolina,city_large,875000,4092,2987,49104,4005,48060,5456,7.25,1.022,4.1,72.0,1517,1182,16,441,81,2170,1.38,28.9,numbeo
2024,Charlotte,North Carolina,city_large,875000,4276,3121,51312,4167,50000,5660,7.25,1.026,2.9,72.4,1630,1183,17,433,81,2187,1.43,27.7,numbeo
2010,Durham,North Carolina,city_medium,278000,2702,1972,32424,2820,33840,3622,7.25,0.958,1.6,56.0,851,689,10,273,47,1313,1.5,25.5,bls_modeled
2011,Durham,North Carolina,city_medium,278000,2754,2010,33048,2872,34460,3701,7.25,0.959,3.2,55.8,902,668,10,276,46,1298,1.55,24.3,bls_modeled
2012,Durham,North Carolina,city_medium,278000,2763,2017,33156,2896,34750,3769,7.25,0.954,2.1,55.2,890,664,10,280,46,1300,1.55,24.0,bls_modeled
2013,Durham,North Carolina,city_medium,278000,2791,2037,33492,2923,35080,3870,7.25,0.955,1.5,56.1,931,715,10,285,50,1362,1.5,25.6,bls_modeled
2014,Durham,North Carolina,city_medium,278000,2912,2126,34944,2962,35540,3936,7.25,0.983,1.6,56.6,919,719,10,290,50,1372,1.55,24.7,bls_modeled
2015,Durham,North Carolina,city_medium,278000,2826,2063,33912,3017,36200,4027,7.25,0.937,0.1,56.2,919,736,11,299,49,1417,1.46,26.0,bls_modeled
2016,Durham,North Carolina,city_medium,278000,2900,2117,34800,3087,37040,4136,7.25,0.939,1.3,56.7,954,737,11,302,48,1422,1.49,25.4,bls_modeled
2017,Durham,North Carolina,city_medium,278000,2962,2162,35544,3141,37690,4218,7.25,0.943,2.1,56.6,908,762,11,315,53,1467,1.47,25.7,bls_modeled
2018,Durham,North Carolina,city_medium,278000,3070,2241,36840,3220,38640,4330,7.25,0.953,2.4,57.2,934,790,11,324,54,1508,1.49,25.7,bls_modeled
2019,Durham,North Carolina,city_medium,278000,3288,2400,39456,3318,39810,4458,7.25,0.991,1.8,56.9,969,747,12,310,54,1473,1.63,22.7,bls_modeled
2020,Durham,North Carolina,city_medium,278000,3458,2524,41496,3496,41950,4692,7.25,0.989,1.2,57.9,961,759,11,331,56,1490,1.69,21.9,bls_modeled
2021,Durham,North Carolina,city_medium,278000,3653,2667,43836,3813,45760,4855,7.25,0.958,4.7,57.5,1008,814,13,347,54,1605,1.66,22.3,bls_modeled
2022,Durham,North Carolina,city_medium,278000,3649,2664,43788,3859,46310,5158,7.25,0.946,8.0,57.2,1162,894,13,369,63,1726,1.54,24.5,bls_modeled
2023,Durham,North Carolina,city_medium,278000,4025,2938,48300,4005,48060,5456,7.25,1.005,4.1,58.8,1182,939,13,364,61,1770,1.66,23.3,bls_modeled
2024,Durham,North Carolina,city_medium,278000,3982,2907,47784,4167,50000,5660,7.25,0.956,2.9,57.9,1192,932,13,381,63,1786,1.63,23.4,bls_modeled
2010,Atlanta,Georgia,city_large,498000,2950,2154,35400,2820,33840,3622,7.25,1.046,1.6,71.5,1083,846,12,325,58,1573,1.37,28.7,numbeo
2011,Atlanta,Georgia,city_large,498000,3015,2201,36180,2872,34460,3701,7.25,1.05,3.2,71.1,1169,858,11,331,59,1576,1.4,28.5,numbeo
2012,Atlanta,Georgia,city_large,498000,2969,2167,35628,2896,34750,3769,7.25,1.025,2.1,71.8,1130,922,11,322,61,1635,1.33,31.1,numbeo
2013,Atlanta,Georgia,city_large,498000,3051,2227,36612,2923,35080,3870,7.25,1.044,1.5,71.0,1165,874,11,343,61,1610,1.38,28.6,numbeo
2014,Atlanta,Georgia,city_large,498000,3217,2348,38604,2962,35540,3936,7.25,1.086,1.6,71.4,1188,865,12,349,61,1628,1.44,26.9,numbeo
2015,Atlanta,Georgia,city_large,498000,3093,2258,37116,3017,36200,4027,7.25,1.025,0.1,72.1,1237,945,12,329,59,1686,1.34,30.6,numbeo
2016,Atlanta,Georgia,city_large,498000,3208,2342,38496,3087,37040,4136,7.25,1.039,1.3,73.0,1241,884,12,337,61,1637,1.43,27.6,numbeo
2017,Atlanta,Georgia,city_large,498000,3433,2506,41196,3141,37690,4218,7.25,1.093,2.1,72.8,1276,966,13,353,63,1759,1.42,28.1,numbeo
2018,Atlanta,Georgia,city_large,498000,3508,2561,42096,3220,38640,4330,7.25,1.089,2.4,72.7,1329,976,13,372,65,1793,1.43,27.8,numbeo
2019,Atlanta,Georgia,city_large,498000,3647,2662,43764,3318,39810,4458,7.25,1.099,1.8,72.3,1344,961,13,364,64,1771,1.5,26.4,numbeo
2020,Atlanta,Georgia,city_large,498000,3655,2668,43860,3496,41950,4692,7.25,1.045,1.2,73.2,1379,1009,14,386,67,1866,1.43,27.6,numbeo
2021,Atlanta,Georgia,city_large,498000,4069,2970,48828,3813,45760,4855,7.25,1.067,4.7,72.6,1356,1015,14,390,69,1884,1.58,24.9,numbeo
2022,Atlanta,Georgia,city_large,498000,4050,2956,48600,3859,46310,5158,7.25,1.049,8.0,73.4,1496,1161,15,418,72,2091,1.41,28.7,numbeo
2023,Atlanta,Georgia,city_large,498000,4384,3200,52608,4005,48060,5456,7.25,1.095,4.1,74.5,1577,1135,15,431,80,2092,1.53,25.9,numbeo
2024,Atlanta,Georgia,city_large,498000,4381,3198,52572,4167,50000,5660,7.25,1.051,2.9,73.5,1633,1153,16,443,79,2145,1.49,26.3,numbeo
2010,Augusta,Georgia,city_medium,202000,2768,2021,33216,2820,33840,3622,7.25,0.982,1.6,55.9,862,637,10,277,46,1264,1.6,23.0,bls_modeled
2011,Augusta,Georgia,city_medium,202000,2880,2102,34560,2872,34460,3701,7.25,1.003,3.2,56.2,838,671,10,278,48,1305,1.61,23.3,bls_modeled
2012,Augusta,Georgia,city_medium,202000,2886,2107,34632,2896,34750,3769,7.25,0.997,2.1,57.1,913,690,10,280,46,1326,1.59,23.9,bls_modeled
2013,Augusta,Georgia,city_medium,202000,2847,2078,34164,2923,35080,3870,7.25,0.974,1.5,57.6,863,694,11,294,47,1367,1.52,24.4,bls_modeled
2014,Augusta,Georgia,city_medium,202000,2937,2144,35244,2962,35540,3936,7.25,0.992,1.6,57.8,903,752,11,285,50,1420,1.51,25.6,bls_modeled
2015,Augusta,Georgia,city_medium,202000,2969,2167,35628,3017,36200,4027,7.25,0.984,0.1,57.9,932,712,11,296,48,1389,1.56,24.0,bls_modeled
2016,Augusta,Georgia,city_medium,202000,3073,2243,36876,3087,37040,4136,7.25,0.995,1.3,58.4,889,739,11,302,51,1427,1.57,24.0,bls_modeled
2017,Augusta,Georgia,city_medium,202000,3154,2302,37848,3141,37690,4218,7.25,1.004,2.1,57.7,902,723,11,310,49,1419,1.62,22.9,bls_modeled
2018,Augusta,Georgia,city_medium,202000,3304,2412,39648,3220,38640,4330,7.25,1.026,2.4,58.0,918,777,11,318,54,1489,1.62,23.5,bls_modeled
2019,Augusta,Georgia,city_medium,202000,3512,2564,42144,3318,39810,4458,7.25,1.058,1.8,58.0,976,746,11,329,53,1470,1.74,21.2,bls_modeled
2020,Augusta,Georgia,city_medium,202000,3489,2547,41868,3496,41950,4692,7.25,0.998,1.2,58.9,985,788,11,326,52,1510,1.69,22.6,bls_modeled
2021,Augusta,Georgia,city_medium,202000,3825,2792,45900,3813,45760,4855,7.25,1.003,4.7,58.6,999,815,12,348,55,1588,1.76,21.3,bls_modeled
2022,Augusta,Georgia,city_medium,202000,4026,2939,48312,3859,46310,5158,7.25,1.043,8.0,59.3,1104,868,13,373,58,1699,1.73,21.6,bls_modeled
2023,Augusta,Georgia,city_medium,202000,4141,3023,49692,4005,48060,5456,7.25,1.034,4.1,58.8,1142,911,14,367,63,1767,1.71,22.0,bls_modeled
2024,Augusta,Georgia,city_medium,202000,4383,3200,52596,4167,50000,5660,7.25,1.052,2.9,59.2,1209,908,14,393,66,1797,1.78,20.7,bls_modeled
2010,Savannah,Georgia,city_medium,147000,2778,2028,33336,2820,33840,3622,7.25,0.985,1.6,55.8,815,663,9,266,45,1258,1.61,23.9,bls_modeled
2011,Savannah,Georgia,city_medium,147000,2855,2084,34260,2872,34460,3701,7.25,0.994,3.2,57.0,878,685,10,280,46,1319,1.58,24.0,bls_modeled
2012,Savannah,Georgia,city_medium,147000,2840,2073,34080,2896,34750,3769,7.25,0.981,2.1,56.4,916,713,11,281,46,1370,1.51,25.1,bls_modeled
2013,Savannah,Georgia,city_medium,147000,2887,2108,34644,2923,35080,3870,7.25,0.988,1.5,56.7,862,723,11,288,47,1390,1.52,25.0,bls_modeled
2014,Savannah,Georgia,city_medium,147000,2943,2148,35316,2962,35540,3936,7.25,0.994,1.6,57.6,952,722,11,303,47,1405,1.53,24.5,bls_modeled
2015,Savannah,Georgia,city_medium,147000,2993,2185,35916,3017,36200,4027,7.25,0.992,0.1,58.1,926,705,11,306,49,1393,1.57,23.6,bls_modeled
2016,Savannah,Georgia,city_medium,147000,3044,2222,36528,3087,37040,4136,7.25,0.986,1.3,57.3,955,717,11,294,50,1396,1.59,23.6,bls_modeled
2017,Savannah,Georgia,city_medium,147000,3244,2368,38928,3141,37690,4218,7.25,1.033,2.1,58.2,971,718,11,300,49,1404,1.69,22.1,bls_modeled
2018,Savannah,Georgia,city_medium,147000,3282,2396,39384,3220,38640,4330,7.25,1.019,2.4,58.1,941,734,12,302,52,1448,1.65,22.4,bls_modeled
2019,Savannah,Georgia,city_medium,147000,3319,2423,39828,3318,39810,4458,7.25,1.0,1.8,57.7,947,807,11,322,51,1522,1.59,24.3,bls_modeled
2020,Savannah,Georgia,city_medium,147000,3635,2654,43620,3496,41950,4692,7.25,1.04,1.2,58.2,1002,765,11,321,53,1483,1.79,21.0,bls_modeled
2021,Savannah,Georgia,city_medium,147000,3948,2882,47376,3813,45760,4855,7.25,1.035,4.7,58.3,991,808,12,345,58,1581,1.82,20.5,bls_modeled
2022,Savannah,Georgia,city_medium,147000,3979,2905,47748,3859,46310,5158,7.25,1.031,8.0,59.3,1135,910,13,353,63,1726,1.68,22.9,bls_modeled
2023,Savannah,Georgia,city_medium,147000,4084,2981,49008,4005,48060,5456,7.25,1.02,4.1,58.5,1208,946,13,371,63,1786,1.67,23.2,bls_modeled
2024,Savannah,Georgia,city_medium,147000,4306,3143,51672,4167,50000,5660,7.25,1.033,2.9,59.6,1240,964,14,392,63,1849,1.7,22.4,bls_modeled
2010,Jacksonville,Florida,city_large,949000,3095,2259,37140,2820,33840,3622,7.25,1.098,1.6,65.4,1134,825,11,302,55,1506,1.5,26.7,bls_modeled
2011,Jacksonville,Florida,city_large,949000,3011,2198,36132,2872,34460,3701,7.25,1.048,3.2,65.1,1134,894,12,312,56,1610,1.37,29.7,bls_modeled
2012,Jacksonville,Florida,city_large,949000,3032,2213,36384,2896,34750,3769,7.25,1.047,2.1,65.7,1156,850,12,318,60,1578,1.4,28.0,bls_modeled
2013,Jacksonville,Florida,city_large,949000,3083,2251,36996,2923,35080,3870,7.25,1.055,1.5,65.5,1232,882,12,343,58,1635,1.38,28.6,bls_modeled
2014,Jacksonville,Florida,city_large,949000,3137,2290,37644,2962,35540,3936,7.25,1.059,1.6,66.0,1226,928,12,338,60,1679,1.36,29.6,bls_modeled
2015,Jacksonville,Florida,city_large,949000,3161,2308,37932,3017,36200,4027,7.25,1.048,0.1,67.1,1206,933,12,338,62,1686,1.37,29.5,bls_modeled
2016,Jacksonville,Florida,city_large,949000,3471,2534,41652,3087,37040,4136,7.25,1.124,1.3,66.3,1169,893,12,343,61,1652,1.53,25.7,bls_modeled
2017,Jacksonville,Florida,city_large,949000,3408,2488,40896,3141,37690,4218,7.25,1.085,2.1,67.8,1303,972,13,347,64,1760,1.41,28.5,bls_modeled
2018,Jacksonville,Florida,city_large,949000,3553,2594,42636,3220,38640,4330,7.25,1.103,2.4,67.1,1220,930,12,368,62,1720,1.51,26.2,bls_modeled
2019,Jacksonville,Florida,city_large,949000,3768,2751,45216,3318,39810,4458,7.25,1.136,1.8,68.4,1321,992,13,380,63,1817,1.51,26.3,bls_modeled
2020,Jacksonville,Florida,city_large,949000,3852,2812,46224,3496,41950,4692,7.25,1.102,1.2,68.6,1296,953,14,374,64,1795,1.57,24.7,bls_modeled
2021,Jacksonville,Florida,city_large,949000,4221,3081,50652,3813,45760,4855,7.25,1.107,4.7,68.2,1446,1002,13,394,67,1853,1.66,23.7,bls_modeled
2022,Jacksonville,Florida,city_large,949000,4339,3167,52068,3859,46310,5158,7.25,1.124,8.0,67.8,1467,1171,15,418,76,2105,1.5,27.0,bls_modeled
2023,Jacksonville,Florida,city_large,949000,4415,3223,52980,4005,48060,5456,7.25,1.102,4.1,68.4,1593,1184,15,444,78,2152,1.5,26.8,bls_modeled
2024,Jacksonville,Florida,city_large,949000,4818,3517,57816,4167,50000,5660,7.25,1.156,2.9,68.3,1595,1144,15,449,82,2125,1.66,23.7,bls_modeled
2010,Miami,Florida,city_large,442000,2782,2031,33384,2820,33840,3622,7.25,0.987,1.6,81.0,1154,813,11,303,55,1495,1.36,29.2,numbeo
2011,Miami,Florida,city_large,442000,2809,2051,33708,2872,34460,3701,7.25,0.978,3.2,82.3,1162,831,12,332,58,1569,1.31,29.6,numbeo
2012,Miami,Florida,city_large,442000,2711,1979,32532,2896,34750,3769,7.25,0.936,2.1,81.6,1178,895,12,328,57,1630,1.21,33.0,numbeo
2013,Miami,Florida,city_large,442000,2899,2116,34788,2923,35080,3870,7.25,0.992,1.5,82.9,1168,849,12,322,61,1584,1.34,29.3,numbeo
2014,Miami,Florida,city_large,442000,2925,2135,35100,2962,35540,3936,7.25,0.988,1.6,82.0,1242,899,12,352,60,1664,1.28,30.7,numbeo
2015,Miami,Florida,city_large,442000,3010,2197,36120,3017,36200,4027,7.25,0.998,0.1,82.3,1154,875,12,327,60,1615,1.36,29.1,numbeo
2016,Miami,Florida,city_large,442000,3035,2216,36420,3087,37040,4136,7.25,0.983,1.3,82.8,1287,890,12,357,63,1665,1.33,29.3,numbeo
2017,Miami,Florida,city_large,442000,3131,2286,37572,3141,37690,4218,7.25,0.997,2.1,83.8,1310,935,13,345,61,1718,1.33,29.9,numbeo
2018,Miami,Florida,city_large,442000,3151,2300,37812,3220,38640,4330,7.25,0.979,2.4,83.8,1270,956,12,366,64,1746,1.32,30.3,numbeo
2019,Miami,Florida,city_large,442000,3250,2372,39000,3318,39810,4458,7.25,0.98,1.8,83.1,1261,1009,13,357,63,1811,1.31,31.0,numbeo
2020,Miami,Florida,city_large,442000,3532,2578,42384,3496,41950,4692,7.25,1.01,1.2,84.8,1336,1035,13,370,67,1856,1.39,29.3,numbeo
2021,Miami,Florida,city_large,442000,3915,2858,46980,3813,45760,4855,7.25,1.027,4.7,84.5,1408,1054,13,395,71,1910,1.5,26.9,numbeo
2022,Miami,Florida,city_large,442000,3878,2831,46536,3859,46310,5158,7.25,1.005,8.0,83.7,1517,1075,15,408,73,1996,1.42,27.7,numbeo
2023,Miami,Florida,city_large,442000,3885,2836,46620,4005,48060,5456,7.25,0.97,4.1,84.5,1610,1202,15,427,75,2150,1.32,30.9,numbeo
2024,Miami,Florida,city_large,442000,4228,3086,50736,4167,50000,5660,7.25,1.015,2.9,84.6,1630,1184,16,450,80,2184,1.41,28.0,numbeo
2010,Tampa,Florida,city_large,384000,2620,1913,31440,2820,33840,3622,7.25,0.929,1.6,68.4,1118,863,11,309,57,1553,1.23,32.9,numbeo
2011,Tampa,Florida,city_large,384000,2544,1857,30528,2872,34460,3701,7.25,0.886,3.2,68.0,1115,847,12,336,58,1589,1.17,33.3,numbeo
2012,Tampa,Florida,city_large,384000,2570,1876,30840,2896,34750,3769,7.25,0.887,2.1,68.2,1123,894,11,317,57,1598,1.17,34.8,numbeo
2013,Tampa,Florida,city_large,384000,2775,2026,33300,2923,35080,3870,7.25,0.949,1.5,69.1,1206,937,12,334,58,1681,1.21,33.8,numbeo
2014,Tampa,Florida,city_large,384000,2805,2048,33660,2962,35540,3936,7.25,0.947,1.6,68.9,1150,881,12,334,59,1627,1.26,31.4,numbeo
2015,Tampa,Florida,city_large,384000,2724,1989,32688,3017,36200,4027,7.25,0.903,0.1,68.8,1217,906,12,333,59,1651,1.2,33.3,numbeo
2016,Tampa,Florida,city_large,384000,2901,2118,34812,3087,37040,4136,7.25,0.94,1.3,68.7,1265,923,12,335,63,1676,1.26,31.8,numbeo
2017,Tampa,Florida,city_large,384000,3034,2215,36408,3141,37690,4218,7.25,0.966,2.1,70.1,1204,910,13,363,65,1715,1.29,30.0,numbeo
2018,Tampa,Florida,city_large,384000,3113,2272,37356,3220,38640,4330,7.25,0.967,2.4,69.2,1283,985,13,368,63,1796,1.27,31.6,numbeo
2019,Tampa,Florida,city_large,384000,3058,2232,36696,3318,39810,4458,7.25,0.922,1.8,70.6,1325,1001,12,364,66,1793,1.24,32.7,numbeo
2020,Tampa,Florida,city_large,384000,3378,2466,40536,3496,41950,4692,7.25,0.966,1.2,70.0,1383,1021,13,371,66,1842,1.34,30.2,numbeo
2021,Tampa,Florida,city_large,384000,3585,2617,43020,3813,45760,4855,7.25,0.94,4.7,70.7,1358,1065,14,403,71,1949,1.34,29.7,numbeo
2022,Tampa,Florida,city_large,384000,3703,2703,44436,3859,46310,5158,7.25,0.96,8.0,70.3,1536,1127,15,416,76,2059,1.31,30.4,numbeo
2023,Tampa,Florida,city_large,384000,3827,2794,45924,4005,48060,5456,7.25,0.956,4.1,70.2,1544,1163,16,444,79,2152,1.3,30.4,numbeo
2024,Tampa,Florida,city_large,384000,3899,2846,46788,4167,50000,5660,7.25,0.936,2.9,71.2,1592,1239,16,463,79,2251,1.26,31.8,numbeo
2010,Orlando,Florida,city_large,307000,2428,1772,29136,2820,33840,3622,7.25,0.861,1.6,67.7,1157,855,12,315,57,1571,1.13,35.2,numbeo
2011,Orlando,Florida,city_large,307000,2504,1828,30048,2872,34460,3701,7.25,0.872,3.2,67.4,1182,825,11,326,59,1538,1.19,32.9,numbeo
2012,Orlando,Florida,city_large,307000,2446,1786,29352,2896,34750,3769,7.25,0.845,2.1,67.4,1146,902,12,342,58,1652,1.08,36.9,numbeo
2013,Orlando,Florida,city_large,307000,2548,1860,30576,2923,35080,3870,7.25,0.872,1.5,68.2,1175,912,12,337,61,1662,1.12,35.8,numbeo
2014,Orlando,Florida,city_large,307000,2606,1902,31272,2962,35540,3936,7.25,0.88,1.6,68.2,1158,886,12,351,58,1648,1.15,34.0,numbeo
2015,Orlando,Florida,city_large,307000,2720,1986,32640,3017,36200,4027,7.25,0.902,0.1,67.6,1221,916,12,342,62,1673,1.19,33.7,numbeo
2016,Orlando,Florida,city_large,307000,2715,1982,32580,3087,37040,4136,7.25,0.879,1.3,69.1,1268,901,13,334,59,1669,1.19,33.2,numbeo
2017,Orlando,Florida,city_large,307000,2764,2018,33168,3141,37690,4218,7.25,0.88,2.1,68.6,1231,984,13,339,62,1762,1.15,35.6,numbeo
2018,Orlando,Florida,city_large,307000,2969,2167,35628,3220,38640,4330,7.25,0.922,2.4,68.2,1323,998,13,347,65,1790,1.21,33.6,numbeo
2019,Orlando,Florida,city_large,307000,2984,2178,35808,3318,39810,4458,7.25,0.899,1.8,69.8,1259,985,12,379,64,1790,1.22,33.0,numbeo
2020,Orlando,Florida,city_large,307000,3058,2232,36696,3496,41950,4692,7.25,0.875,1.2,68.8,1370,1026,14,362,64,1856,1.2,33.6,numbeo
2021,Orlando,Florida,city_large,307000,3357,2451,40284,3813,45760,4855,7.25,0.88,4.7,70.2,1351,1019,14,396,69,1894,1.29,30.4,numbeo
2022,Orlando,Florida,city_large,307000,3543,2586,42516,3859,46310,5158,7.25,0.918,8.0,68.9,1529,1098,15,427,72,2037,1.27,31.0,numbeo
2023,Orlando,Florida,city_large,307000,3612,2637,43344,4005,48060,5456,7.25,0.902,4.1,70.6,1544,1144,15,424,80,2094,1.26,31.7,numbeo
2024,Orlando,Florida,city_large,307000,3850,2810,46200,4167,50000,5660,7.25,0.924,2.9,70.0,1534,1182,16,432,77,2161,1.3,30.7,numbeo
2010,Fort Lauderdale,Florida,city_medium,182000,2701,1972,32412,2820,33840,3622,7.25,0.958,1.6,55.7,794,647,10,274,45,1270,1.55,24.0,bls_modeled
2011,Fort Lauderdale,Florida,city_medium,182000,2840,2073,34080,2872,34460,3701,7.25,0.989,3.2,55.9,825,673,10,275,45,1301,1.59,23.7,bls_modeled
2012,Fort Lauderdale,Florida,city_medium,182000,2809,2051,33708,2896,34750,3769,7.25,0.97,2.1,55.5,865,718,10,293,46,1367,1.5,25.6,bls_modeled
2013,Fort Lauderdale,Florida,city_medium,182000,2802,2045,33624,2923,35080,3870,7.25,0.959,1.5,57.2,929,697,11,296,47,1372,1.49,24.9,bls_modeled
2014,Fort Lauderdale,Florida,city_medium,182000,2878,2101,34536,2962,35540,3936,7.25,0.972,1.6,57.2,951,697,11,296,49,1375,1.53,24.2,bls_modeled
2015,Fort Lauderdale,Florida,city_medium,182000,2886,2107,34632,3017,36200,4027,7.25,0.957,0.1,57.7,901,692,10,292,50,1347,1.56,24.0,bls_modeled
2016,Fort Lauderdale,Florida,city_medium,182000,3034,2215,36408,3087,37040,4136,7.25,0.983,1.3,56.8,939,728,11,303,48,1414,1.57,24.0,bls_modeled
2017,Fort Lauderdale,Florida,city_medium,182000,3127,2283,37524,3141,37690,4218,7.25,0.996,2.1,57.4,975,728,11,297,50,1412,1.62,23.3,bls_modeled
2018,Fort Lauderdale,Florida,city_medium,182000,3116,2275,37392,3220,38640,4330,7.25,0.968,2.4,58.1,977,729,11,306,53,1428,1.59,23.4,bls_modeled
2019,Fort Lauderdale,Florida,city_medium,182000,3232,2359,38784,3318,39810,4458,7.25,0.974,1.8,57.6,1001,813,12,318,53,1546,1.53,25.2,bls_modeled
2020,Fort Lauderdale,Florida,city_medium,182000,3594,2624,43128,3496,41950,4692,7.25,1.028,1.2,57.8,1031,797,12,319,52,1532,1.71,22.2,bls_modeled
2021,Fort Lauderdale,Florida,city_medium,182000,3810,2781,45720,3813,45760,4855,7.25,0.999,4.7,57.8,1084,842,12,326,56,1594,1.74,22.1,bls_modeled
2022,Fort Lauderdale,Florida,city_medium,182000,3940,2876,47280,3859,46310,5158,7.25,1.021,8.0,57.8,1106,931,12,354,63,1728,1.66,23.6,bls_modeled
2023,Fort Lauderdale,Florida,city_medium,182000,4186,3056,50232,4005,48060,5456,7.25,1.045,4.1,59.0,1205,961,14,365,64,1816,1.68,23.0,bls_modeled
2024,Fort Lauderdale,Florida,city_medium,182000,4225,3084,50700,4167,50000,5660,7.25,1.014,2.9,59.2,1178,932,14,393,66,1821,1.69,22.1,bls_modeled
2010,St. Petersburg,Florida,city_medium,258000,2754,2010,33048,2820,33840,3622,7.25,0.977,1.6,55.5,817,650,10,272,46,1272,1.58,23.6,bls_modeled
2011,St. Petersburg,Florida,city_medium,258000,2804,2047,33648,2872,34460,3701,7.25,0.976,3.2,55.9,860,707,10,282,48,1345,1.52,25.2,bls_modeled
2012,St. Petersburg,Florida,city_medium,258000,2784,2032,33408,2896,34750,3769,7.25,0.961,2.1,57.0,856,708,10,295,47,1360,1.49,25.4,bls_modeled
2013,St. Petersburg,Florida,city_medium,258000,2858,2086,34296,2923,35080,3870,7.25,0.978,1.5,57.1,878,684,10,292,47,1335,1.56,23.9,bls_modeled
2014,St. Petersburg,Florida,city_medium,258000,2892,2111,34704,2962,35540,3936,7.25,0.976,1.6,57.0,918,742,10,304,48,1407,1.5,25.7,bls_modeled
2015,St. Petersburg,Florida,city_medium,258000,3004,2193,36048,3017,36200,4027,7.25,0.996,0.1,56.8,950,720,11,294,51,1398,1.57,24.0,bls_modeled
2016,St. Petersburg,Florida,city_medium,258000,3031,2213,36372,3087,37040,4136,7.25,0.982,1.3,56.9,885,750,10,299,51,1415,1.56,24.7,bls_modeled
2017,St. Petersburg,Florida,city_medium,258000,3041,2220,36492,3141,37690,4218,7.25,0.968,2.1,58.2,975,733,11,310,50,1430,1.55,24.1,bls_modeled
